//this config file was auto-generated by Excel2lua tool do not modify it!
ID,WaveType,Enemy1,Enemy2,Enemy3,CameraCfgId,WaveCameraCfgId,OffsetPos1,OffsetPos2,OffsetPos3,OffsetEulerAngles1,OffsetEulerAngles2,OffsetEulerAngles3,TeamOffsetPos,TeamOffsetEulerAngles,WaveBuffList
10006,1,-1,101001,-1,1,0,-3.400002;0;1.699997,-0.5;0;3.5,2.299999;0;2.099998,0;180;0,0;180;0,0;180;0,0;0;4.3,0;180;0,20000002|1
10007,1,-1,101002,-1,1,0,-3.400002;0;1.699997,-0.5;0;3.5,2.299999;0;2.099998,0;180;0,0;180;0,0;180;0,0;0;4.3,0;180;0,20000002|1
10008,1,-1,101003,-1,1,0,-3.400002;0;1.699997,-0.5;0;3.5,2.299999;0;2.099998,0;180;0,0;180;0,0;180;0,0;0;4.3,0;180;0,20000002|1
10009,1,-1,101004,-1,1,0,-3.400002;0;1.699997,-0.5;0;3.5,2.299999;0;2.099998,0;180;0,0;180;0,0;180;0,0;0;4.3,0;180;0,20000002|1
10010,1,-1,101005,-1,1,0,-3.400002;0;1.699997,-0.5;0;3.5,2.299999;0;2.099998,0;180;0,0;180;0,0;180;0,0;0;4.3,0;180;0,20000002|1
10011,1,111012,111011,111013,1,0,-3.400002;0;1.699997,-0.5;0;3.5,2.299999;0;2.099998,0;180;0,0;180;0,0;180;0,0;0;4.3,0;180;0,20000002|1
10012,1,111021,-1,111022,1,0,-3.400002;0;1.699997,-0.5;0;3.5,2.299999;0;2.099998,0;180;0,0;180;0,0;180;0,0;0;4.3,0;180;0,20000002|1
10013,1,111032,111031,111033,1,0,-3.400002;0;1.699997,-0.5;0;3.5,2.299999;0;2.099998,0;180;0,0;180;0,0;180;0,0;0;4.3,0;180;0,20000002|1
10014,1,111042,111041,111043,1,0,-3.400002;0;1.699997,-0.5;0;3.5,2.299999;0;2.099998,0;180;0,0;180;0,0;180;0,0;0;4.3,0;180;0,20000002|1
100141,1,111044,111045,111046,1,0,-3.400002;0;1.699997,-0.5;0;3.5,2.299999;0;2.099998,0;180;0,0;180;0,0;180;0,0;0;4.3,0;180;0,
10015,1,111051,111052,111053,1,0,-3.400002;0;1.699997,-0.5;0;3.5,2.299999;0;2.099998,0;180;0,0;180;0,0;180;0,0;0;4.3,0;180;0,20000002|1
10016,1,111061,111062,111063,1,0,-3.400002;0;1.699997,-0.5;0;3.5,2.299999;0;2.099998,0;180;0,0;180;0,0;180;0,0;0;4.3,0;180;0,20000002|1
100161,1,-1,111064,-1,3,0,-3.400002;0;1.699997,-0.5;0;3.5,2.299999;0;2.099998,0;180;0,0;180;0,0;180;0,0;0;4.3,0;180;0,
10017,1,112012,112011,112013,1,0,-3.400002;0;1.699997,-0.5;0;3.5,2.299999;0;2.099998,0;180;0,0;180;0,0;180;0,0;0;4.3,0;180;0,20000002|1
10018,1,112022,112021,112023,1,0,-3.400002;0;1.699997,-0.5;0;3.5,2.299999;0;2.099998,0;180;0,0;180;0,0;180;0,0;0;4.3,0;180;0,20000002|1
10019,1,112032,112031,112033,1,0,-3.400002;0;1.699997,-0.5;0;3.5,2.299999;0;2.099998,0;180;0,0;180;0,0;180;0,0;0;4.3,0;180;0,20000002|1
10020,1,112042,112041,112043,1,0,-3.400002;0;1.699997,-0.5;0;3.5,2.299999;0;2.099998,0;180;0,0;180;0,0;180;0,0;0;4.3,0;180;0,20000002|1
10021,1,-1,112051,-1,1,0,-3.400002;0;1.699997,-0.5;0;3.5,2.299999;0;2.099998,0;180;0,0;180;0,0;180;0,0;0;4.3,0;180;0,20000002|1
10022,1,-1,112061,-1,3,0,-3.400002;0;1.699997,-0.5;0;3.5,2.299999;0;2.099998,0;180;0,0;180;0,0;180;0,0;0;4.3,0;180;0,20000002|1
10023,1,113011,-1,113012,1,0,-3.400002;0;1.699997,-0.5;0;3.5,2.299999;0;2.099998,0;180;0,0;180;0,0;180;0,0;0;4.3,0;180;0,20000002|1
10024,1,113021,-1,113022,1,0,-3.400002;0;1.699997,-0.5;0;3.5,2.299999;0;2.099998,0;180;0,0;180;0,0;180;0,0;0;4.3,0;180;0,20000002|1
10025,1,113031,113032,113033,1,0,-3.400002;0;1.699997,-0.5;0;3.5,2.299999;0;2.099998,0;180;0,0;180;0,0;180;0,0;0;4.3,0;180;0,20000002|1
10026,1,113041,113043,113042,1,0,-3.400002;0;1.699997,-0.5;0;3.5,2.299999;0;2.099998,0;180;0,0;180;0,0;180;0,0;0;4.3,0;180;0,20000002|1
10027,1,113052,113051,113053,1,0,-3.400002;0;1.699997,-0.5;0;3.5,2.299999;0;2.099998,0;180;0,0;180;0,0;180;0,0;0;4.3,0;180;0,20000002|1
10028,1,113061,113062,113063,1,0,-3.400002;0;1.699997,-0.5;0;3.5,2.299999;0;2.099998,0;180;0,0;180;0,0;180;0,0;0;4.3,0;180;0,20000002|1
100281,1,-1,113064,-1,3,0,-3.400002;0;1.699997,-0.5;0;3.5,2.299999;0;2.099998,0;180;0,0;180;0,0;180;0,0;0;4.3,0;180;0,
10029,1,114011,114012,114013,1,0,-3.400002;0;1.699997,-0.5;0;3.5,2.299999;0;2.099998,0;180;0,0;180;0,0;180;0,0;0;4.3,0;180;0,20000002|1
10030,1,114014,114015,114016,1,0,-3.400002;0;1.699997,-0.5;0;3.5,2.299999;0;2.099998,0;180;0,0;180;0,0;180;0,0;0;4.3,0;180;0,20000002|1
10031,1,114021,114022,114023,1,0,-3.400002;0;1.699997,-0.5;0;3.5,2.299999;0;2.099998,0;180;0,0;180;0,0;180;0,0;0;4.3,0;180;0,20000002|1
10032,1,114024,114025,114026,1,0,-3.400002;0;1.699997,-0.5;0;3.5,2.299999;0;2.099998,0;180;0,0;180;0,0;180;0,0;0;4.3,0;180;0,20000002|1
10033,1,114031,114032,114033,1,0,-3.400002;0;1.699997,-0.5;0;3.5,2.299999;0;2.099998,0;180;0,0;180;0,0;180;0,0;0;4.3,0;180;0,20000002|1
10034,1,114035,114034,114036,1,0,-3.400002;0;1.699997,-0.5;0;3.5,2.299999;0;2.099998,0;180;0,0;180;0,0;180;0,0;0;4.3,0;180;0,20000002|1
10035,1,114041,114042,114043,1,0,-3.400002;0;1.699997,-0.5;0;3.5,2.299999;0;2.099998,0;180;0,0;180;0,0;180;0,0;0;4.3,0;180;0,20000002|1
10036,1,114044,114046,114045,3,0,-3.400002;0;1.699997,-0.5;0;3.5,2.299999;0;2.099998,0;180;0,0;180;0,0;180;0,0;0;4.3,0;180;0,20000002|1
10037,1,114051,-1,114052,1,0,-3.400002;0;1.699997,-0.5;0;3.5,2.299999;0;2.099998,0;180;0,0;180;0,0;180;0,0;0;4.3,0;180;0,20000002|1
10038,1,114053,114054,114055,1,0,-3.400002;0;1.699997,-0.5;0;3.5,2.299999;0;2.099998,0;180;0,0;180;0,0;180;0,0;0;4.3,0;180;0,20000002|1
10039,1,114061,114062,114063,1,0,-3.400002;0;1.699997,-0.5;0;3.5,2.299999;0;2.099998,0;180;0,0;180;0,0;180;0,0;0;4.3,0;180;0,20000002|1
10040,1,114064,-1,114065,1,0,-3.400002;0;1.699997,-0.5;0;3.5,2.299999;0;2.099998,0;180;0,0;180;0,0;180;0,0;0;4.3,0;180;0,20000002|1
10041,1,-1,114066,-1,3,0,-3.400002;0;1.699997,-0.5;0;3.5,2.299999;0;2.099998,0;180;0,0;180;0,0;180;0,0;0;4.3,0;180;0,20000002|1
10042,1,-1,100132,-1,0,0,-3.400002;0;1.699997,-0.5;0;3.5,2.299999;0;2.099998,0;180;0,0;180;0,0;180;0,0;0;4.3,0;180;0,
