//this config file was auto-generated by Excel2lua tool do not modify it!
ID,Des,EventType,CorrelationIDs,EventTriggerType,EventTriggerConditionGroupID,EventActiveConditionGroupID,EventCompleteConditionGroupID,MapElementID,EventReward,ForcedShow
102500000,出生点,1,0,1,,,,,,0
102500001,胜利点,5,0,2,,,,,,0
102500002,战斗1_眺望点附近,2,102500002,2,,,,,,1
102500003,战斗2_,2,102500003,2,,,,,,1
102500004,战斗3_精英,2,102500004,2,,,,,,1
102500005,战斗4,2,102500005,2,,,,,,1
102500006,战斗5,2,102500006,2,,,,,,1
102500007,战斗6,2,102500007,2,,,,,,1
102500008,战斗7,2,102500008,2,,,,,,1
102500009,战斗8_眺望点附近,2,102500009,2,,,,,,1
102500010,战斗9,2,102500010,2,,,,,,1
102500011,战斗10,2,102500011,2,,,,,,1
102500012,战斗11_boss,2,102500012,2,,,,,,1
102500013,支线战斗12,2,102500013,2,,,,,,1
102500014,支线战斗13,2,102500014,2,,,,,,1
