//this config file was auto-generated by Excel2lua tool do not modify it!
ID,EventID,EventPos,TaskTitle,TaskContent,TaskPillar,TaskRout,IsShowDistance
1,100010,,,,,,1
2,100020,159.59;10;17,str_ui_city_temp_task_title101,str_ui_city_temp_task_content101,1,1,1
3,100360,162.2;10;4.2,str_ui_city_temp_task_title101,str_ui_city_temp_task_content101,1,1,1
4,100370,,str_ui_city_temp_task_title101,str_ui_city_temp_task_content102,,,1
5,100420,127;29;-42,str_ui_city_temp_task_title102,str_ui_city_temp_task_content103,,,1
6,100410,,str_ui_city_temp_task_title102,str_ui_city_temp_task_content105,,,1
7,100670,,str_ui_city_temp_task_title102,str_ui_city_temp_task_content105,,,1
8,100060,61.5;1.64;12,str_ui_city_temp_task_title102,str_ui_city_temp_task_content105,,,1
9,100680,,str_ui_city_temp_task_title102,str_ui_city_temp_task_content106,,,1
10,100570,,str_ui_city_temp_task_title102,str_ui_city_temp_task_content106,,,1
11,100320,29;14.3;2.1,str_ui_city_temp_task_title102,str_ui_city_temp_task_content107,,,1
12,100330,15.7;10.6;-43,str_ui_city_temp_task_title102,str_ui_city_temp_task_content107,,,1
13,100580,,str_ui_city_temp_task_title102,str_ui_city_temp_task_content108,,,1
14,100380,-52.7;1.5;-25,str_ui_city_temp_task_title103,str_ui_city_temp_task_content109,,,1
15,100390,-62.4;13.3;-27.2,str_ui_city_temp_task_title103,str_ui_city_temp_task_content110,,,1
16,100640,,str_ui_city_temp_task_title103,str_ui_city_temp_task_content111,,,1
17,100430,-50;57.3;-40,str_ui_city_temp_task_title104,str_ui_city_temp_task_content112,,,1
18,100700,,str_ui_city_temp_task_title104,str_ui_city_temp_task_content113,,,1
19,100710,,str_ui_city_temp_task_title104,str_ui_city_temp_task_content113,,,1
20,100590,,str_ui_city_temp_task_title104,str_ui_city_temp_task_content113,,,1
21,100600,,str_ui_city_temp_task_title104,str_ui_city_temp_task_content114,,,1
22,100610,,str_ui_city_temp_task_title104,str_ui_city_temp_task_content115,,,1
23,100620,,str_ui_city_temp_task_title105,str_ui_city_temp_task_content116,,,1
24,100540,,str_ui_city_temp_task_title105,str_ui_city_temp_task_content117,,,1
