//this config file was auto-generated by Excel2lua tool do not modify it!
ID,PrefabName,EffectName,InteractObjectType,EnterBehavior,CompleteBehavior,CanPerception,TargetState,IsInScene
1001,common_heal_box,fx_p_Interaction,3,1101,1102;1103,1,,0
1002,interact_organ,,3,1105,1102;1104,1,,0
1003,interact_organ,,3,1105,1102;1104,1,,0
1004,interact_organ,,3,1105,1102;1104,1,,0
1005,fx_p_map,,5,1115;1107,1106;1102,0,,0
1006,TestBuild,,3,1108,1102,1,,0
2001,interact_p_baoxiang_02,fx_p_rare_box_close,3,1101,1102;1103,1,,0
2002,interact_p_baoxiang_01,fx_p_ordinarybox_close,3,1101,1102;1103,1,,0
2003,interact_p_baoxiang_02,fx_p_rare_box_close,3,1101,1102;1103,1,,0
2004,interact_p_baoxiang_02,fx_p_rare_box_close,3,1101,1102;1103,1,,0
2005,interact_p_baoxiang_02,fx_p_rare_box_close,3,1101,1102;1103,1,,0
2006,interact_p_baoxiang_02,fx_p_rare_box_close,3,1101,1102;1103,1,,0
2007,interact_p_baoxiang_02,fx_p_rare_box_close,3,1101,1102;1103,1,,0
2008,interact_p_baoxiang_02,fx_p_rare_box_close,3,1101,1102;1103,1,,0
2009,interact_p_baoxiang_02,fx_p_rare_box_close,3,1101,1102;1103,1,,0
2010,interact_p_baoxiang_02,fx_p_rare_box_close,3,1101,1102;1103,1,,0
2011,interact_p_baoxiang_02,fx_p_rare_box_close,3,1101,1102;1103,1,,0
2012,ad_board_100320,,4,1110,1102,1,,0
2013,ad_board_100330,,4,1111,1102,1,,0
2014,open_the_door,,4,1109,1102,1,,0
2015,interact_organ,,4,1105,1102;1112,1,,0
2016,,,4,1113,1102,1,,0
2017,bridge,,4,1114,1102,1,,0
2018,common_heal_box,fx_p_Interaction,4,1116,,1,,0
2019,fx_p_map,,4,1118,1102,0,1,0
2020,fx_p_map,,4,1117,1102,0,2,0
2021,interact_p_elevator_01,,7,1119,1102,0,3,1
2022,interact_p_baoxiang_02,fx_p_rare_box_close,3,1101,1102;1103,1,,0
2023,item_p_dianxiang_01,,4,1120,1122;1102,1,,1
2024,,,4,1102,,0,,0
2025,fx_p_map,,5,1115;1107,1123;1102,0,,0
2026,common_heal_box,fx_p_Interaction,1,1101,1102,1,,0
2027,interact_p_baoxiang_02,fx_p_rare_box_close,1,1101,1102,1,,0
2028,common_heal_box,fx_p_Interaction,1,1101,1102,1,,0
2029,common_heal_box,fx_p_Interaction,1,1101,1102,1,,0
2030,common_heal_box,fx_p_Interaction,1,1101,1102,1,,0
2031,common_heal_box,fx_p_Interaction,1,1101,1102,1,,0
2032,common_heal_box,fx_p_Interaction,1,1101,1102,1,,0
2033,interact_p_healbox_01,fx_p_xuebao_loop,1,1101,1102;1124,1,,0
2034,common_heal_box,fx_p_Interaction,1,1101,1102,1,,0
2035,common_heal_box,fx_p_Interaction,1,1101,1102,1,,0
2036,common_heal_box,fx_p_Interaction,1,1101,1102,1,,0
2037,common_heal_box,fx_p_Interaction,1,1101,1102,1,,0
2038,interact_p_healbox_01,fx_p_xuebao_loop,1,1101,1102;1124,1,,0
2039,interact_p_healbox_01,fx_p_xuebao_loop,1,1101,1102;1124,1,,0
2040,interact_p_healbox_01,fx_p_xuebao_loop,1,1101,1102;1124,1,,0
2041,interact_p_healbox_01,fx_p_Interaction,10,1101,1102;1124,0,,0
2042,,,4,1126,1102,0,,0
210000000,interact_p_baoxiang_02,fx_p_rare_box_close,3,10005,10006,1,,0
210000001,interact_p_baoxiang_02,fx_p_rare_box_close,3,10003,10004,1,,0
