//this config file was auto-generated by Excel2lua tool do not modify it!
ID,RarityLevel,ItemType,CanOverlay,Overlay,UseType,ExpireType,ExpireTime,HoldLimit,ObtainLimit,DecomposeInfo,Recommend
21020401,1,1,1,9999,3,0,,9999,,"111,1|112,2",
21020501,2,1,1,9999,3,1,2021-12-15 24:00:00,9999,,,
21020601,3,1,1,9999,3,2,10 00:00:00,9999,,,
30000001,1,2,1,9999,0,0,,9999,,,
40000001,1,3,0,1,2,0,,100,,,
50000001,1,4,0,1,2,0,,100,,,
120100001,1,7,0,1,0,0,,9999,,,
120100012,1,7,0,1,0,0,,9999,,,
120300001,1,7,0,1,0,0,,9999,,,
120300002,1,7,0,1,0,0,,9999,,,
120300012,1,7,0,1,0,0,,9999,,,
120500001,1,7,0,1,0,0,,9999,,,
120600001,1,7,0,1,0,0,,9999,,,
120600002,1,7,0,1,0,0,,9999,,,
122000001,1,7,0,1,0,0,,9999,,,
122000002,1,7,0,1,0,0,,9999,,,
120300017,1,7,0,1,0,0,,9999,,,
120100015,1,7,0,1,0,0,,9999,,,
120500012,1,7,0,1,0,0,,9999,,,
122000020,1,7,0,1,0,0,,9999,,,
122000018,1,7,0,1,0,0,,9999,,,
122000019,1,7,0,1,0,0,,9999,,,
120600014,1,7,0,1,0,0,,9999,,,
120100016,1,7,0,1,0,0,,9999,,,
122000021,1,7,0,1,0,0,,9999,,,
122000022,1,7,0,1,0,0,,9999,,,
120300018,1,7,0,1,0,0,,9999,,,
120600015,1,7,0,1,0,0,,9999,,,
120300019,1,7,0,1,0,0,,9999,,,
120100017,1,7,0,1,0,0,,9999,,,
122000023,1,7,0,1,0,0,,9999,,,
122000024,1,7,0,1,0,0,,9999,,,
