//this config file was auto-generated by Excel2lua tool do not modify it!
SkillViewId,SkillTargetType,
10310101,1,
10310101,1,
10310101,1,
10310101,1,
10310101,1,
10310101,1,
10310101,1,
10310101,1,
12110100,1,
12110100,1,
12400100,1,
12400100,1,
12400100,1,
12010100,1,
12800100,1,
12500100,1,
12600100,1,
12700100,1,
12800100,1,
12900100,1,
13000100,1,
13100100,1,
13300100,1,
13400100,1,
13600100,1,
13700100,1,
13200100,1,
13500100,1,
13900100,1,
14210100,1,
14110100,1,
14310100,1,
14010100,1,
14410100,1,
14510100,1,
14610100,1,
14710100,1,
14810100,1,
14910100,1,
15010100,1,
15110100,1,
15110100,1,
15110100,1,
,3,
10310101,1,
10310101,1,
10310101,1,
10310101,1,
10310101,1,
10310101,1,
10310101,1,
10310101,1,
10310101,1,
10310101,1,
10310101,1,
10310101,1,
10310101,1,
10310101,1,
10310101,1,
10310101,1,
10310101,1,
10310101,1,
10310101,1,
10310101,1,
10310101,1,
10310101,1,
10310101,1,
10310101,1,
10310101,4,
