//this config file was auto-generated by Excel2lua tool do not modify it!
ID,BattleType,WaveList,BattleEnterTL,EnterPos1,EnterPos2,DeathTimeline
4,1,41,,162.602;10;33.04947,156.3526;10;32.93085,
5,2,51,,0;0;0,0;0;0,
6,2,61,,0;0;0,0;0;0,
7,2,71,,0;0;0,0;0;0,
8,3,81,SpecialPerformanceTL,0;0;0,0;0;0,
9,2,91;92,,0;0;0,0;0;0,
10,2,101,,0;0;0,0;0;0,
11,2,111,,0;0;0,0;0;0,
12,2,121,,0;0;0,0;0;0,
13,2,131,,0;0;0,0;0;0,
14,2,141,,0;0;0,0;0;0,
15,3,151,SpecialPerformanceTL,0;0;0,0;0;0,
16,2,161,,0;0;0,0;0;0,
17,2,171,,0;0;0,0;0;0,
18,2,181,,0;0;0,0;0;0,
19,2,191,,0;0;0,0;0;0,
20,2,201,,0;0;0,0;0;0,
21,2,211,,0;0;0,0;0;0,
22,2,221,,0;0;0,0;0;0,
23,3,231,SpecialPerformanceTL,-1.525879E-05;0;0,-1.525879E-05;0;0,tl_0602_210000023_01
24,2,241;242,,0;0;0,0;0;0,
100800,1,1008001;1008002,,0;0;0,0;0;0,
100810,1,1008101;1008102,,0;0;0,0;0;0,
