//this config file was auto-generated by Excel2lua tool do not modify it!
ID,EventID,EventPos,TaskTitle,TaskContent,TaskPillar,TaskRout,IsShowDistance
1,100010,,,,,,1
2,100020,159.59;10;17,str_ui_city_temp_task_title101,str_ui_city_temp_task_content101,1,1,1
3,100360,159;10;7.35,str_ui_city_temp_task_title101,str_ui_city_temp_task_content101,1,1,1
4,100370,138.09;32;-43.25,str_ui_city_temp_task_title101,str_ui_city_temp_task_content102,,,1
5,100420,138.09;32;-43.25,str_ui_city_temp_task_title102,str_ui_city_temp_task_content103,,,1
6,100560,,str_ui_city_temp_task_title102,str_ui_city_temp_task_content105,,,1
7,100650,88.94;11.18;-60.95,str_ui_city_temp_task_title102,str_ui_city_temp_task_content105,,,1
8,100410,,str_ui_city_temp_task_title102,str_ui_city_temp_task_content105,,,1
9,100670,,str_ui_city_temp_task_title102,str_ui_city_temp_task_content105,,,1
10,100060,80.6;1;3.29,str_ui_city_temp_task_title102,str_ui_city_temp_task_content105,,,1
11,100660,,str_ui_city_temp_task_title102,str_ui_city_temp_task_content106,1,1,1
12,100680,,str_ui_city_temp_task_title102,str_ui_city_temp_task_content106,1,1,1
13,100570,,str_ui_city_temp_task_title102,str_ui_city_temp_task_content106,,,1
14,100320,31.34;18.59;18.85,str_ui_city_temp_task_title102,str_ui_city_temp_task_content107,,,1
15,100330,26.08;18.97;-16.64,str_ui_city_temp_task_title102,str_ui_city_temp_task_content107,,,1
16,100580,,str_ui_city_temp_task_title102,str_ui_city_temp_task_content108,,,1
17,100380,-43.9;1;-23.99,str_ui_city_temp_task_title103,str_ui_city_temp_task_content109,,,1
18,100690,,str_ui_city_temp_task_title103,str_ui_city_temp_task_content110,,,1
19,100720,-27.56;1.72;12.31,str_ui_city_temp_task_title103,str_ui_city_temp_task_content110,,,1
20,102010016,,str_ui_city_temp_task_title103,str_ui_city_temp_task_content110,,,1
21,100390,-63.57;13;-20.9,str_ui_city_temp_task_title103,str_ui_city_temp_task_content110,,,1
22,100730,,str_ui_city_temp_task_title103,str_ui_city_temp_task_content111,,,1
23,100640,,str_ui_city_temp_task_title103,str_ui_city_temp_task_content111,,,1
24,100430,-50;57.3;-40,str_ui_city_temp_task_title104,str_ui_city_temp_task_content112,,,1
25,100700,,str_ui_city_temp_task_title104,str_ui_city_temp_task_content113,,,1
26,100710,,str_ui_city_temp_task_title104,str_ui_city_temp_task_content113,,,1
27,102010015,62.86;67.17;-131.05,str_ui_city_temp_task_title104,str_ui_city_temp_task_content113,,,1
28,100590,,str_ui_city_temp_task_title104,str_ui_city_temp_task_content113,,,1
29,100600,149.7;56.61;-146.03,str_ui_city_temp_task_title104,str_ui_city_temp_task_content114,,,1
30,100610,,str_ui_city_temp_task_title104,str_ui_city_temp_task_content115,,,1
31,100620,,str_ui_city_temp_task_title105,str_ui_city_temp_task_content116,,,1
32,100540,,str_ui_city_temp_task_title105,str_ui_city_temp_task_content117,,,1
