//this config file was auto-generated by Excel2lua tool do not modify it!
ID,PrefabName,EffectName,InteractObjectType,EnterBehavior,CompleteBehavior,CanPerception,TargetState,IsInScene
1001,common_heal_box,fx_p_Interaction,3,1101,1102;1103,1,,0
1002,interact_organ,,3,1105,1102;1104,1,,0
1003,interact_organ,,3,1105,1102;1104,1,,0
1004,interact_organ,,3,1105,1102;1104,1,,0
1005,fx_p_map,,5,1107,1106;1102,0,,0
1006,TestBuild,,3,1108,1102,1,,0
2001,interact_p_baoxiang_01_m,fx_p_Interaction_baoxiang_01_m,3,1101,1102;1103,1,,0
2002,interact_p_baoxiang_01_m,fx_p_Interaction_baoxiang_01_m,3,10020;1101,1102;1103,1,,0
2003,interact_p_baoxiang_02_m,fx_p_Interaction_baoxiang_02_m,3,10022;1101,1102;1103,1,,0
2004,interact_p_baoxiang_02_m,fx_p_Interaction_baoxiang_02_m,3,10022;1101,1102;1103,1,,0
2005,interact_p_baoxiang_02_m,fx_p_Interaction_baoxiang_02_m,3,10021;1101,1102;1103,1,,0
2006,interact_p_baoxiang_02_m,fx_p_Interaction_baoxiang_02_m,3,1101,1102;1103,1,,0
2007,interact_p_baoxiang_02_m,fx_p_Interaction_baoxiang_02_m,3,10020;1101,1102;1103,1,,0
2008,interact_p_baoxiang_02_m,fx_p_Interaction_baoxiang_02_m,3,1101,1102;1103,1,,0
2009,interact_p_baoxiang_02_m,fx_p_Interaction_baoxiang_02_m,3,1101,1102;1103,1,,0
2010,interact_p_baoxiang_02_m,fx_p_Interaction_baoxiang_02_m,3,10020;1101,1102;1103,1,,0
2011,interact_p_baoxiang_02_m,fx_p_Interaction_baoxiang_02_m,3,10023;1101,1102;1103,1,,0
2012,Interact_guanggaopai_02,fx_p_Interaction_guanggaopai_02,4,1110,1102,1,,0
2013,Interact_guanggaopai_03,fx_p_Interaction_guanggaopai_03,4,1111,1102,1,,0
2014,open_the_door,fx_p_Interaction,4,1109,1102,1,,0
2015,Interact_p_dianxiang_05_m02,fx_p_common_thunderbox_complete_6001,4,1102,1112,1,,1
2016,,,4,1113,1102,1,,0
2017,build_p_overpass_01_02_m_da,,1,1114,1102,1,,0
2018,common_heal_box,fx_p_Interaction,4,1116,,1,,0
2019,interact_p_elevator_04_03_m,fx_p_Interaction_elevator_04_03_m,4,1118,1102,0,1,1
2020,interact_p_elevator_04_04_m,fx_p_Interaction_elevator_04_03_m,4,1117,1102,0,2,1
2021,interact_p_elevator_01_m_dt,fx_p_Interaction_elevator_01_m,7,1119,1102,0,3,1
2022,interact_p_baoxiang_02_m,fx_p_Interaction_baoxiang_02_m,3,10022;1101,1102;1103,1,,0
2023,Interact_p_dianxiang_05_m01,fx_p_Interaction_dianxiang_05_m,4,1120,1122;1102,1,,1
2024,,,4,1102,,0,,0
2025,fx_p_map,,5,1128,1123;1102,0,,0
2026,interact_p_baoxiang_02_m,fx_p_Interaction_baoxiang_02_m,3,1101,1102,1,,0
2027,interact_p_baoxiang_02_m,fx_p_Interaction_baoxiang_02_m,3,1101,1102,1,,0
2028,interact_p_baoxiang_02_m,fx_p_Interaction_baoxiang_02_m,3,1101,1102,1,,0
2029,interact_p_baoxiang_02_m,fx_p_Interaction_baoxiang_02_m,3,1101,1102,1,,0
