//this config file was auto-generated by Excel2lua tool do not modify it!
ID,Des,EventType,CorrelationIDs,EventTriggerType,EventTriggerConditionGroupID,EventActiveConditionGroupID,EventCompleteConditionGroupID,MapElementID,EventReward,ForcedShow
102020000,初始出生,1,0,1,,,,0,,0
102020002,111,5,0,2,,,,0,,0
102020003,存储1,7,0,1,,,,0,,0
102020007,存储2,7,0,1,,,,0,,0
102020008,存储3,7,0,1,,,,0,,0
102020009,存储4,7,0,1,,,,0,,0
102020010,血包,4,102020010,3,,,,0,,0
102020011,阴险的宝箱,4,102020011,3,,,,0,,0
102020013,验证战斗点2,2,102020013,2,,,,0,,0
102020014,验证战斗点3,2,102020014,2,,,,0,,0
102020015,战斗验证点4,2,102020015,2,,,,0,,0
102020016,战斗验证点5,2,102020016,2,,,,0,,0
102020017,战斗验证点6,2,102020017,2,,,,0,,0
102020018,花园战斗1,2,102020018,2,,,,0,,0
102020019,花园战斗2,2,102020019,2,,,,0,,0
102020020,花园战斗3,2,102020020,2,,,,0,,0
102020021,花园战斗4,2,102020021,2,,,,0,,0
102020022,花园战斗5,2,102020022,2,,,,0,,0
102020023,花园战斗6,2,102020023,2,,,,0,,0
102020024,血包,4,102020024,3,,,,0,,0
102020025,西街战斗1,2,102020025,2,,,,0,,0
102020026,西街战斗2,2,102020026,2,,,,0,,0
102020027,西街战斗3,2,102020027,2,,,,0,,0
102020028,西街战斗4,2,102020028,2,,,,0,,0
102020029,西街战斗5,2,102020029,2,,,,0,,0
102020030,西街战斗6,2,102020030,2,,,,0,,0
102020031,血包,4,102020031,3,,,,0,,0
102020032,南街战斗1,2,102020032,2,,,,0,,0
102020033,南街战斗2,2,102020033,2,,,,0,,0
102020034,南街战斗3,2,102020034,2,,,,0,,0
102020035,南街战斗4,2,102020035,2,,,,0,,0
102020036,南街战斗5,2,102020036,2,,,,0,,0
102020037,南街战斗6,2,102020037,2,,,,0,,0
102020038,血包,4,102020038,3,,,,0,,0
102020039,停车场战斗1,2,102020039,2,,,,0,,0
102020040,停车场战斗2,2,102020040,2,,,,0,,0
102020041,停车场战斗3,2,102020041,2,,,,0,,0
102020042,停车场战斗4,2,102020042,2,,,,0,,0
102020043,停车场战斗5,2,102020043,2,,,,0,,0
102020044,停车场战斗6,2,102020044,2,,,,0,,0
102020045,血包,4,102020045,3,,,,0,,0
102020046,花园存储点1,7,0,1,,,,0,,0
102020047,花园存储点2,7,0,1,,,,0,,0
102020048,花园存储点3,7,0,1,,,,0,,0
102020049,花园存储点4,7,0,1,,,,0,,0
102020050,花园存储点5,7,0,1,,,,0,,0
102020051,花园存储点6,7,0,1,,,,0,,0
102020052,西街存储点1,7,0,1,,,,0,,0
102020053,西街存储点2,7,0,1,,,,0,,0
102020054,西街存储点3,7,0,1,,,,0,,0
102020055,西街存储点4,7,0,1,,,,0,,0
102020056,西街存储点5,7,0,1,,,,0,,0
102020057,西街存储点6,7,0,1,,,,0,,0
102020058,南街存储点1,7,0,1,,,,0,,0
102020059,南街存储点2,7,0,1,,,,0,,0
102020060,南街存储点3,7,0,1,,,,0,,0
102020061,南街存储点4,7,0,1,,,,0,,0
102020062,南街存储点5,7,0,1,,,,0,,0
102020063,南街存储点6,7,0,1,,,,0,,0
102020064,停车场存储点1,7,0,1,,,,0,,0
102020065,停车场存储点2,7,0,1,,,,0,,0
102020066,停车场存储点3,7,0,1,,,,0,,0
102020067,停车场存储点4,7,0,1,,,,0,,0
102020068,停车场存储点5,7,0,1,,,,0,,0
102020069,停车场存储点6,7,0,1,,,,0,,0
102020070,出生存储,7,0,1,,,,0,,0
102020071,警示牌-花园,4,102020071,3,,,,0,,0
102020072,警示牌-西街,4,102020072,3,,,,0,,0
102020073,警示牌-南街,4,102020073,3,,,,0,,0
102020074,警示牌-停车场,4,102020074,3,,,,0,,0
102020075,触发战斗的宝箱,4,102020075,3,,,,0,,0
102020076,100132的宝箱战斗,2,102020076,1,,,,0,,0
