//this config file was auto-generated by Excel2lua tool do not modify it!
ID,WaveType,Enemy1,Enemy2,Enemy3,CameraCfgId,WaveCameraCfgId,OffsetPos1,OffsetPos2,OffsetPos3,OffsetEulerAngles1,OffsetEulerAngles2,OffsetEulerAngles3,TeamOffsetPos,TeamOffsetEulerAngles,WaveBuffList
41,1,-1,200101,-1,1,0,-3.400023;0;1.699982,-0.5000216;0;3.499998,2.299991;0;2.100013,0;180;0,0;180;0,0;180;0,-2.81781E-05;0;4.300002,0;180;0,20000002|1
61,1,200501,-1,200502,1,0,-3.4;0;1.7,-0.5;0;3.5,1.761907;0;1.921657,0;180;0,0;180;0,0;180;0,0;0;4.3,0;180;0,20000002|1
71,1,-1,200401,-1,1,0,-3.4;0;1.7,-0.5;0;3.5,2.3;0;2.1,0;180;0,0;180;0,0;180;0,0;0;4.3,0;180;0,20000002|1
81,1,-1,200701,-1,2,0,-3.400009;0;1.699982,-0.5000153;0;3.499997,2.299988;0;2.100013,0;180;0,0;180;0,0;180;0,-3.051758E-05;0;4.3,0;180;0,20000002|1
91,1,200804,200801,200805,1,0,-3.4;0;1.7,-0.5;0;3.5,2.3;0;2.1,0;180;0,0;180;0,0;180;0,0;0;4.3,0;180;0,20000002|1
92,1,200801,200802,200801,1,0,-3.4;0;1.7,-0.5;0;3.5,2.3;0;2.1,0;180;0,0;180;0,0;180;0,0;0;4.3,0;180;0,
101,1,-1,200901,-1,1,0,-3.4;0;1.7,-0.5;0;3.5,2.3;0;2.1,0;180;0,0;180;0,0;180;0,0;0;4.3,0;180;0,20000002|1
111,1,201001,-1,201001,1,0,-3.4;0;1.7,-0.5;0;3.5,1.761907;0;1.921657,0;180;0,0;180;0,0;180;0,0;0;4.3,0;180;0,20000002|1
121,1,201101,201102,201103,1,0,-3.4;0;1.7,-0.5;0;3.5,2.3;0;2.1,0;180;0,0;180;0,0;180;0,0;0;4.3,0;180;0,20000002|1
131,1,200301,-1,200301,1,0,-3.4;0;1.7,-0.5;0;3.5,2.3;0;2.1,0;180;0,0;180;0,0;180;0,0;0;4.3,0;180;0,20000002|1
141,1,-1,200601,-1,1,0,-3.4;0;1.7,-0.5;0;3.5,2.3;0;2.1,0;180;0,0;180;0,0;180;0,0;0;4.3,0;180;0,20000002|1
151,1,201201,-1,201202,1,0,-3.40001;0.2291489;1.699981,-0.5000216;0;3.499999,1.761907;0;1.921657,0;180;0,0;180;0,0;180;0,-2.365559E-05;7.629395E-06;4.3,0;180;0,20000002|1
161,1,201301,-1,201301,1,0,-3.4;0;1.7,-0.5;0;3.5,2.3;0;2.1,0;180;0,0;180;0,0;180;0,0;0;4.3,0;180;0,20000002|1
171,1,201401,201402,201403,1,0,-3.4;0;1.7,-0.5;0;3.5,2.3;0;2.1,0;180;0,0;180;0,0;180;0,0;0;4.3,0;180;0,20000002|1
181,1,-1,201501,-1,1,0,-3.4;0;1.7,-0.5;0;3.5,2.3;0;2.1,0;180;0,0;180;0,0;180;0,0;0;4.3,0;180;0,20000002|1
191,1,201502,201501,201503,1,0,-3.4;0;1.7,-0.5;0;3.5,2.3;0;2.1,0;180;0,0;180;0,0;180;0,0;0;4.3,0;180;0,20000002|1
201,1,201701,201702,201703,1,0,-3.4;0;1.7,-0.5;0;3.5,2.3;0;2.1,0;180;0,0;180;0,0;180;0,0;0;4.3,0;180;0,20000002|1
211,1,201801,-1,201802,1,0,-3.4;0;1.7,-0.5;0;3.5,1.761907;0;1.921657,0;180;0,0;180;0,0;180;0,0;0;4.3,0;180;0,20000002|1
221,1,200102,-1,-1,1,0,-3.4;0;1.7,-0.5;0;3.5,2.3;0;2.1,0;180;0,0;180;0,0;180;0,0;0;4.3,0;180;0,20000002|1
231,1,-1,201901,-1,3,0,-3.400023;0;1.69998,-0.5000216;0;3.499998,2.299991;0;2.100011,0;180;0,0;180;0,0;180;0,-2.812967E-05;-13.75;4.300009,0;180;0,20000002|1
241,1,202001,202001,202001,1,0,-3.4;0;1.7,-0.5;0;3.5,2.3;0;2.1,0;180;0,0;180;0,0;180;0,0;0;4.3,0;180;0,20000002|1
242,1,202001,202002,202001,1,0,-3.4;0;1.7,-0.5;0;3.5,2.3;0;2.1,0;180;0,0;180;0,0;180;0,0;0;4.3,0;180;0,
1008001,1,203002,202002,203003,1,0,-3.400002;0;1.699997,-0.5;0;3.5,2.299999;0;2.099998,0;180;0,0;180;0,0;180;0,0;0;4.3,0;180;0,20000002|1
1008002,1,203002,203001,203003,1,0,-3.400002;0;1.699997,-0.5;0;3.5,2.299999;0;2.099998,0;180;0,0;180;0,0;180;0,0;0;4.3,0;180;0,
1008101,1,203002,202002,203003,1,0,-3.400002;0;1.699997,-0.5;0;3.5,2.299999;0;2.099998,0;180;0,0;180;0,0;180;0,0;0;4.3,0;180;0,20000002|1
1008102,1,-1,200401,-1,1,0,-3.400002;0;1.699997,-0.5;0;3.5,2.299999;0;2.099998,0;180;0,0;180;0,0;180;0,0;0;4.3,0;180;0,
10000,1,200202,-1,200202,0,0,-3.400002;-9.536743E-07;1.699996,-0.5000005;0;3.5,1.761907;0;1.921657,0;180;0,0;180;0,0;180;0,-4.768372E-07;0;4.300004,0;180;0,20000002|1
